2025-01-29 11:31:00.557 | INFO     | browser_tools:start_recording:66 - Started recording session: 20250129_113100
2025-01-29 11:31:00.557 | INFO     | browser_tools:execute_task:144 - Starting task execution: Go to amazon.com, click on 'Today's Deals', and then filter by 'Electronics'
2025-01-29 11:31:00.563 | INFO     | browser_tools:_handle_navigation:311 - Navigation attempt 1/3
2025-01-29 11:31:00.563 | INFO     | browser_tools:visit_url:376 - Starting navigation to: https://amazon.com
2025-01-29 11:31:01.091 | ERROR    | browser_tools:_take_screenshot:133 - Error taking screenshot: 'QWebEnginePage' object has no attribute 'toImage'
2025-01-29 11:31:01.610 | ERROR    | browser_tools:_take_screenshot:133 - Error taking screenshot: 'QWebEnginePage' object has no attribute 'toImage'
2025-01-29 11:31:02.113 | ERROR    | browser_tools:_take_screenshot:133 - Error taking screenshot: 'QWebEnginePage' object has no attribute 'toImage'
2025-01-29 11:31:02.610 | ERROR    | browser_tools:_take_screenshot:133 - Error taking screenshot: 'QWebEnginePage' object has no attribute 'toImage'
2025-01-29 11:31:03.115 | INFO     | browser_tools:visit_url:412 - Successfully loaded: https://www.amazon.com/
2025-01-29 11:31:03.115 | INFO     | browser_tools:_handle_navigation:317 - Successfully navigated to amazon.com
2025-01-29 11:31:03.116 | ERROR    | browser_tools:_take_screenshot:133 - Error taking screenshot: 'QWebEnginePage' object has no attribute 'toImage'
2025-01-29 11:31:03.614 | ERROR    | browser_tools:_take_screenshot:133 - Error taking screenshot: 'QWebEnginePage' object has no attribute 'toImage'
2025-01-29 11:31:04.115 | ERROR    | browser_tools:_take_screenshot:133 - Error taking screenshot: 'QWebEnginePage' object has no attribute 'toImage'
2025-01-29 11:31:04.609 | ERROR    | browser_tools:_take_screenshot:133 - Error taking screenshot: 'QWebEnginePage' object has no attribute 'toImage'
2025-01-29 11:31:05.112 | ERROR    | browser_tools:_take_screenshot:133 - Error taking screenshot: 'QWebEnginePage' object has no attribute 'toImage'
2025-01-29 11:31:05.611 | ERROR    | browser_tools:_take_screenshot:133 - Error taking screenshot: 'QWebEnginePage' object has no attribute 'toImage'
2025-01-29 11:31:06.108 | ERROR    | browser_tools:_take_screenshot:133 - Error taking screenshot: 'QWebEnginePage' object has no attribute 'toImage'
2025-01-29 11:31:06.117 | ERROR    | browser_tools:_execute_task_internal:300 - Error in task execution: OllamaConnection.generate_text() got an unexpected keyword argument 'system_prompt'
2025-01-29 11:31:06.117 | WARNING  | browser_tools:_execute_task_with_retries:177 - Task attempt 1 failed, retrying...
2025-01-29 11:31:06.611 | ERROR    | browser_tools:_take_screenshot:133 - Error taking screenshot: 'QWebEnginePage' object has no attribute 'toImage'
2025-01-29 11:31:07.112 | ERROR    | browser_tools:_take_screenshot:133 - Error taking screenshot: 'QWebEnginePage' object has no attribute 'toImage'
